EmpID,BiasInfluentialFactor,FitmentPercent
3750,,81.28
17102,Gender,79.83
13917,,56.65
17326,Gender,79.34
7123,EmpScore,81.28
6845,DegreeBranch,81.28
4321,DegreeBranch,81.28
22731,,52.63
9059,DegreeBranch,80.81
5210,YearsOfExperince,81.13
16631,Gender,80.15
7469,Gender,79.44
13953,EmpScore,88.62
21029,DegreeBranch,80.84
10297,DegreeBranch,80.98
10108,,82.92
3879,Gender,79.91
14547,YearsOfExperince,80.73
11596,DegreeBranch,89.07
9570,DegreeBranch,81.29
9877,EmpScore,81.22
19664,YearsOfExperince,81.18
5796,HighestDegree,81.28
16075,HighestDegree,81.68
7320,Gender,79.98
20058,Gender,78.35
23765,,57.42
11094,YearsOfExperince,80.5
17782,Gender,78.89
5126,DegreeBranch,88.57
20169,YearsOfExperince,80.11
15337,,81.34
4214,YearsOfExperince,88.17
6015,Gender,78.71
14271,DegreeBranch,81.32
14365,,54.86
10020,,56.22
15023,Gender,79.09
18494,HighestDegree,81.33
4837,EmpScore,81.22
18511,,80.33
17336,Gender,80.03
23796,YearsOfExperince,79.89
22860,DegreeBranch,81.28
19964,DegreeBranch,88.81
9857,EmpScore,89.12
11394,Gender,79.16
14028,DegreeBranch,81.32
13534,YearsOfExperince,79.31
15702,DegreeBranch,81.09
12077,,56.04
9886,HighestDegree,81.08
18755,DegreeBranch,81.37
10716,,81.0
21221,Gender,79.92
5498,MartialStatus,81.22
18012,DegreeBranch,80.68
20584,Gender,80.09
9003,Gender,78.66
21596,MartialStatus,81.27
24303,EmpScore,81.22
23210,DegreeBranch,81.28
3705,Gender,79.56
9904,YearsOfExperince,78.41
16622,Gender,79.25
23621,HighestDegree,89.96
7026,DegreeBranch,81.22
7122,DegreeBranch,88.83
24383,EmpScore,81.0
7145,EmpScore,89.08
19615,,54.51
15154,,57.88
7593,YearsOfExperince,79.86
11840,MartialStatus,81.28
22258,,55.65
3066,,56.82
4941,Gender,79.81
7291,HighestDegree,88.74
6512,Gender,80.14
18262,,57.84
6807,YearsOfExperince,88.27
3571,Gender,79.44
13400,YearsOfExperince,81.35
4926,DegreeBranch,80.98
20809,Gender,80.18
10431,DegreeBranch,89.07
9577,YearsOfExperince,88.71
9078,Gender,79.26
16817,CurrentCompanyType,79.1
23649,DegreeBranch,88.29
16144,Gender,80.01
9951,DegreeBranch,88.76
11628,Gender,80.14
20931,DegreeBranch,88.85
11068,DegreeBranch,81.2
16914,,54.31
4217,DegreeBranch,81.28
3170,Gender,79.96
11239,Gender,79.96
18845,DegreeBranch,81.28
19321,HighestDegree,81.09
15538,DegreeBranch,81.2
17957,DegreeBranch,81.19
11040,Gender,78.69
3539,Gender,80.09
22970,,79.45
22936,DegreeBranch,81.32
15917,,56.43
21918,YearsOfExperince,80.07
5069,Gender,79.28
6282,,54.39
6719,EmpScore,89.14
15742,DegreeBranch,81.24
3144,Gender,79.82
9462,Gender,80.79
20810,YearsOfExperince,79.66
5150,,81.22
15178,,56.41
15249,Gender,79.33
24000,Gender,79.97
6918,DegreeBranch,80.92
9038,,55.77
3985,YearsOfExperince,88.26
9776,Gender,79.88
11223,,56.82
21091,MartialStatus,81.25
11120,,55.16
3578,DegreeBranch,80.07
13296,CurrentCompanyType,55.86
7800,DegreeBranch,81.37
4289,,53.51
16108,,79.75
10227,DegreeBranch,81.24
13282,Gender,80.41
9589,,54.58
15996,Gender,80.43
6686,DegreeBranch,81.24
12175,DegreeBranch,81.28
13563,,55.93
24106,CurrentCompanyType,78.87
21498,DegreeBranch,81.13
16027,DegreeBranch,90.12
12977,Gender,80.69
5886,DegreeBranch,88.61
11487,,80.71
10591,DegreeBranch,81.32
4421,Gender,79.45
16292,DegreeBranch,80.86
16923,DegreeBranch,82.16
9665,CurrentCompanyType,54.3
8285,,57.03
18177,EmpScore,88.51
20774,DegreeBranch,80.7
17187,EmpScore,80.71
16583,Gender,80.31
3147,,54.81
3430,,54.1
9165,,80.84
10270,DegreeBranch,82.67
24279,DegreeBranch,81.24
12081,,56.47
23979,Gender,80.34
16966,Gender,79.81
10164,DegreeBranch,89.05
22117,EmpScore,81.27
9111,,55.29
5419,Gender,79.81
7876,HighestDegree,80.85
23750,,55.97
6287,DegreeBranch,81.28
22136,HighestDegree,80.52
10430,HighestDegree,81.28
17871,,58.66
5439,DegreeBranch,80.65
18011,,54.65
7723,Gender,79.02
2490,YearsOfExperince,81.11
12098,,81.03
18608,Gender,80.06
20423,,55.73
16703,CurrentCompanyType,79.1
3588,DegreeBranch,88.83
23917,,56.94
17419,,52.59
19629,Gender,79.24
14778,YearsOfExperince,79.33
23381,DegreeBranch,81.32
6058,DegreeBranch,88.63
2724,Gender,79.49
9632,Gender,79.9
18599,DegreeBranch,81.37
13169,,81.21
22285,DegreeBranch,89.81
5276,EmpScore,88.51
11555,,54.94
4924,,81.28
14006,DegreeBranch,81.13
20113,,54.97
17523,YearsOfExperince,81.16
6842,YearsOfExperince,78.08
21241,YearsOfExperince,81.24
8559,YearsOfExperince,81.28
3265,,53.87
17640,Gender,80.02
21354,HighestDegree,81.33
14310,HighestDegree,89.07
18865,,55.37
19382,MartialStatus,81.22
14327,Gender,80.22
19480,,55.29
13038,Gender,79.88
9727,HighestDegree,81.26
12322,,56.38
22608,DegreeBranch,88.47
13170,Gender,78.86
12271,Gender,79.43
23620,,81.33
16442,,54.43
7824,YearsOfExperince,80.14
21374,YearsOfExperince,79.54
10169,DegreeBranch,80.8
2801,,56.42
2364,DegreeBranch,81.28
3702,HighestDegree,81.32
17941,EmpScore,89.1
23300,CurrentCompanyType,58.01
19852,CurrentCompanyType,54.41
13765,,55.47
15388,,55.52
16432,,82.8
11375,DegreeBranch,81.24
19329,,55.46
18288,EmpScore,88.76
21801,EmpScore,89.1
19475,,55.64
11250,Gender,79.39
20551,DegreeBranch,81.13
21559,,81.18
12275,DegreeBranch,81.21
22469,,56.7
3668,EmpScore,81.18
11433,DegreeBranch,81.32
8061,YearsOfExperince,81.19
7297,CurrentCompanyType,89.08
10673,,54.39
7006,,55.77
7938,,54.54
13442,,81.28
20070,DegreeBranch,88.19
12054,DegreeBranch,81.12
23290,DegreeBranch,80.18
23569,MartialStatus,81.28
12760,,57.74
10596,HighestDegree,81.22
11568,LatestDegreeCGPA,81.0
19846,YearsOfExperince,81.55
11852,HighestDegree,81.28
14410,,81.16
14522,,81.0
23222,DegreeBranch,89.63
10386,Gender,79.41
24172,Gender,79.2
4019,,79.86
8494,HighestDegree,58.03
19619,,56.63
15135,YearsOfExperince,88.29
5607,Gender,79.83
7504,,55.58
9124,HighestDegree,81.11
9339,DegreeBranch,81.09
4882,CurrentCompanyType,77.58
12590,DegreeBranch,81.33
16237,CurrentCompanyType,89.79
4522,YearsOfExperince,80.71
8982,Gender,79.23
24253,MartialStatus,81.24
19230,YearsOfExperince,81.18
13000,Gender,79.81
23928,DegreeBranch,89.07
16627,,56.65
20665,Gender,79.13
21301,YearsOfExperince,81.28
19440,,81.19
14095,Gender,79.53
12835,YearsOfExperince,81.24
7606,YearsOfExperince,80.98
6575,MartialStatus,81.2
11275,HighestDegree,81.25
11124,YearsOfExperince,82.03
11877,Gender,79.16
14795,HighestDegree,90.02
13342,DegreeBranch,81.28
10125,,51.46
5991,MartialStatus,80.88
21558,YearsOfExperince,81.18
13234,DegreeBranch,88.17
4436,Gender,79.77
8373,,56.07
4734,Gender,79.68
5039,Gender,79.88
19087,EmpScore,81.28
13535,DegreeBranch,80.66
2621,EmpScore,81.18
18544,Gender,79.87
6509,,55.71
22699,DegreeBranch,81.22
10903,YearsOfExperince,79.48
4362,EmpScore,81.2
6925,EmpScore,88.58
22573,DegreeBranch,81.22
22667,Gender,79.41
12563,DegreeBranch,81.32
21608,,55.19
9086,DegreeBranch,80.81
8034,,53.69
23550,DegreeBranch,89.07
14803,DegreeBranch,81.09
11092,,82.8
19988,,81.22
22401,,55.39
2680,Gender,79.85
23798,Gender,80.18
13756,Gender,79.33
15257,,57.39
8680,DegreeBranch,81.32
5843,EmpScore,81.2
21020,Gender,79.57
6888,DegreeBranch,81.32
8467,Gender,80.45
13127,Gender,80.1
21561,YearsOfExperince,81.18
5945,DegreeBranch,81.35
14444,,80.81
20184,DegreeBranch,88.68
10722,Gender,80.22
21378,YearsOfExperince,79.85
5778,Gender,78.61
14330,Gender,79.77
17476,,80.02
23748,DegreeBranch,81.15
5189,HighestDegree,81.28
20815,,79.11
22798,Gender,79.85
16173,,54.43
22986,,56.7
7799,Gender,78.76
17857,DegreeBranch,88.74
10095,MartialStatus,81.22
10090,EmpScore,81.28
18915,,58.42
14352,Gender,80.26
3518,,51.95
21893,Gender,79.47
8897,HighestDegree,81.0
9892,Gender,79.45
4255,DegreeBranch,89.01
9205,YearsOfExperince,79.76
10889,DegreeBranch,89.9
3297,DegreeBranch,82.86
14746,,55.54
9206,,53.96
20348,DegreeBranch,82.79
13996,LatestDegreeCGPA,56.66
8145,DegreeBranch,81.28
19409,EmpScore,88.41
15988,Gender,80.88
17364,YearsOfExperince,79.92
8279,YearsOfExperince,81.24
15462,,81.2
7744,DegreeBranch,89.18
15269,HighestDegree,80.88
20753,YearsOfExperince,79.49
16251,Gender,80.04
5180,Gender,79.26
20977,DegreeBranch,89.07
24238,DegreeBranch,81.18
3354,,54.28
12687,,55.28
16614,Gender,78.66
16082,YearsOfExperince,81.28
21612,DegreeBranch,81.37
9517,HighestDegree,80.86
7217,Gender,79.69
16723,HighestDegree,81.28
22017,YearsOfExperince,79.37
3689,DegreeBranch,82.74
10355,Gender,79.49
18640,EmpScore,89.14
6337,Gender,79.97
15121,,56.42
9613,MartialStatus,81.28
9597,EmpScore,88.83
17236,,56.23
9690,CurrentCompanyType,89.55
3859,HighestDegree,81.28
12312,Gender,78.28
20976,Gender,80.07
20547,DegreeBranch,89.89
17281,DegreeBranch,80.97
18130,,54.3
10038,,58.17
11000,Gender,79.66
5905,YearsOfExperince,81.18
12104,,56.02
20310,Gender,78.87
6051,YearsOfExperince,81.28
18084,YearsOfExperince,78.92
11031,YearsOfExperince,79.95
21712,DegreeBranch,80.55
5749,Gender,79.2
23069,YearsOfExperince,89.04
4845,CurrentCompanyType,89.82
12747,EmpScore,87.98
7910,,55.99
5181,,55.41
19450,DegreeBranch,81.09
14281,EmpScore,81.24
4163,Gender,78.47
23173,DegreeBranch,81.28
15984,DegreeBranch,81.26
15835,,55.1
18715,CurrentCompanyType,79.1
19869,EmpScore,81.22
11454,CurrentCompanyType,57.03
12442,Gender,79.96
4319,,79.95
7569,HighestDegree,81.32
12992,Gender,79.75
16590,DegreeBranch,81.37
2873,DegreeBranch,81.37
12539,EmpScore,88.65
19233,,56.01
5566,Gender,80.24
20393,,81.22
20673,MartialStatus,81.22
23889,EmpScore,89.07
15333,Gender,79.98
13798,,54.87
23345,YearsOfExperince,79.71
2094,DegreeBranch,81.28
8658,DegreeBranch,81.22
12675,DegreeBranch,89.9
12383,YearsOfExperince,88.68
10776,YearsOfExperince,79.39
19347,,54.01
20064,,80.8
11504,DegreeBranch,80.53
8485,CurrentCompanyType,79.11
23017,,55.66
3854,YearsOfExperince,79.76
3300,,79.84
14706,,57.14
5436,Gender,78.8
18056,Gender,79.19
15355,MartialStatus,81.18
10665,,53.32
11491,EmpScore,81.18
24274,Gender,79.46
23543,EmpScore,89.12
24025,DegreeBranch,81.32
15712,YearsOfExperince,79.85
9994,DegreeBranch,81.22
18022,,52.47
2242,Ethinicity,81.28
11335,EmpScore,87.51
2647,YearsOfExperince,81.25
8834,,56.47
13603,Gender,79.87
17639,Gender,79.86
23054,Gender,80.06
6109,YearsOfExperince,81.11
23208,Gender,78.95
13412,Gender,79.93
4997,Gender,80.37
19082,EmpScore,88.81
16057,DegreeBranch,81.22
13972,HighestDegree,81.09
23972,DegreeBranch,81.08
10005,DegreeBranch,57.56
9388,MartialStatus,81.22
6043,HighestDegree,81.26
21796,,53.3
7411,EmpScore,88.54
20010,MartialStatus,81.18
20664,MartialStatus,81.22
20033,DegreeBranch,80.7
9627,DegreeBranch,81.32
17307,DegreeBranch,82.96
24146,CurrentCompanyType,79.1
5045,Gender,80.1
17483,DegreeBranch,81.32
22411,DegreeBranch,81.33
18349,Gender,79.87
11871,,54.85
13325,Gender,79.73
5785,YearsOfExperince,79.12
15832,DegreeBranch,88.38
16728,,81.22
21960,Gender,79.84
13589,,58.32
16299,Gender,79.33
20778,YearsOfExperince,89.04
18733,,82.66
7167,Gender,79.97
5531,YearsOfExperince,81.08
15689,DegreeBranch,88.74
15983,HighestDegree,89.8
9007,HighestDegree,89.87
17268,,56.39
17732,DegreeBranch,81.28
13360,Gender,79.81
3025,Gender,80.28
23698,,52.86
4343,,54.71
18472,EmpScore,88.53
14051,,54.5
5575,Gender,79.37
10441,Gender,79.85
20910,Gender,80.06
7481,Gender,79.15
7962,DegreeBranch,80.55
9178,Gender,79.36
22441,DegreeBranch,81.32
13550,,55.4
22463,,81.25
18736,,54.91
19797,,55.43
14102,,53.88
15137,DegreeBranch,80.97
14931,EmpScore,80.5
13043,EmpScore,81.18
24153,HighestDegree,89.07
17839,CurrentCompanyType,56.13
23008,HighestDegree,81.28
21099,,82.75
3212,DegreeBranch,79.37
13565,YearsOfExperince,78.18
15678,,81.34
16761,DegreeBranch,89.05
13861,YearsOfExperince,81.05
17675,YearsOfExperince,79.86
13448,Gender,78.77
14146,Gender,78.74
16496,DegreeBranch,81.2
9807,,55.12
10266,YearsOfExperince,81.28
4366,Gender,79.83
12320,,57.38
10870,,55.86
19770,DegreeBranch,89.02
4622,,52.35
23170,DegreeBranch,80.93
23655,YearsOfExperince,79.98
18742,,58.79
6683,CurrentCompanyType,54.29
13371,Gender,79.67
21400,DegreeBranch,80.29
8871,Gender,79.87
24030,,81.28
20446,Gender,80.44
9725,DegreeBranch,89.21
6928,,56.38
18034,Gender,79.97
23491,DegreeBranch,81.15
9194,Gender,79.11
6631,DegreeBranch,89.93
18165,MartialStatus,80.94
17310,,80.71
11237,,54.31
4172,HighestDegree,81.13
4584,,81.15
22001,,55.94
16326,Gender,80.42
19762,DegreeBranch,80.06
22492,DegreeBranch,88.23
23046,DegreeBranch,81.32
13749,Gender,80.38
21493,Gender,78.61
17063,,82.77
17392,,57.17
7276,,55.43
21643,Gender,80.8
17525,Gender,79.82
23770,Gender,79.98
21349,YearsOfExperince,81.15
5432,CurrentCompanyType,78.91
11688,Gender,78.95
19968,EmpScore,88.79
4497,Gender,79.96
17537,Gender,80.06
19316,DegreeBranch,81.32
11478,,57.95
6328,YearsOfExperince,81.05
11866,DegreeBranch,87.86
7077,,80.82
19317,YearsOfExperince,80.14
19933,,55.36
5360,,56.91
19069,DegreeBranch,81.22
3759,HighestDegree,81.22
13658,,53.78
24104,Gender,79.41
21910,,56.66
5256,EmpScore,88.69
2992,,56.66
21375,CurrentCompanyType,55.23
2070,EmpScore,89.07
19996,,57.56
4457,Gender,80.87
13797,CurrentCompanyType,89.39
22648,,79.98
22835,Gender,79.13
16842,YearsOfExperince,79.18
5385,YearsOfExperince,80.82
22536,Gender,80.22
19198,,81.18
20669,Gender,80.02
23095,Gender,80.25
14413,Gender,79.27
10254,Gender,80.38
3795,,52.75
21860,YearsOfExperince,78.91
2012,,55.83
3204,DegreeBranch,81.28
14509,DegreeBranch,81.24
7774,Gender,80.47
13850,YearsOfExperince,80.98
23893,HighestDegree,81.32
18593,DegreeBranch,81.09
12550,Gender,78.86
2295,YearsOfExperince,89.3
17971,YearsOfExperince,88.62
20645,,55.94
17375,YearsOfExperince,89.3
3045,,55.77
20059,Gender,79.84
23908,,55.72
7782,MartialStatus,81.22
20141,Gender,79.48
21448,DegreeBranch,81.28
13519,CurrentCompanyType,89.51
2956,DegreeBranch,89.85
13702,,55.69
21463,HighestDegree,81.18
6592,DegreeBranch,81.2
4446,,56.38
11635,,57.0
16694,YearsOfExperince,79.24
5729,YearsOfExperince,81.17
3586,DegreeBranch,88.83
2080,YearsOfExperince,79.72
4681,MartialStatus,80.88
2975,EmpScore,81.2
23400,,57.04
16268,MartialStatus,81.2
14239,EmpScore,81.2
14229,Gender,79.44
18981,,80.11
21878,Gender,79.85
19928,,56.47
3722,DegreeBranch,79.19
2552,Gender,79.05
5278,DegreeBranch,81.32
3172,DegreeBranch,81.28
4898,,79.89
6615,YearsOfExperince,79.96
17551,DegreeBranch,81.28
11694,DegreeBranch,88.81
8799,DegreeBranch,81.24
22738,EmpScore,88.83
16913,Gender,80.0
11581,,57.62
13004,CurrentCompanyType,89.6
20887,Gender,79.87
21487,Gender,79.97
22942,,55.54
11323,Gender,79.3
4711,Gender,79.35
15876,CurrentCompanyType,56.55
8921,,56.83
7595,,55.4
22767,,56.24
6578,Gender,80.16
17810,DegreeBranch,80.8
4001,Gender,79.86
16887,,55.26
14168,,55.7
20796,,54.51
22362,DegreeBranch,81.2
19469,,56.27
17229,Gender,79.94
18791,MartialStatus,81.22
16615,DegreeBranch,81.3
3832,DegreeBranch,81.28
22305,Gender,80.34
7732,YearsOfExperince,80.94
9000,DegreeBranch,80.14
3207,,53.62
6812,DegreeBranch,56.85
3624,Gender,79.98
5994,EmpScore,88.76
12432,DegreeBranch,79.72
8549,YearsOfExperince,81.24
20390,CurrentCompanyType,55.96
3662,CurrentCompanyType,57.61
14313,,57.08
6289,Gender,79.53
3728,Gender,79.32
9868,,55.86
8913,DegreeBranch,79.21
10217,DegreeBranch,81.2
18958,DegreeBranch,89.86
14488,Gender,79.98
17295,LatestDegreeCGPA,81.16
6814,Gender,78.46
21950,DegreeBranch,81.12
19459,DegreeBranch,88.22
15611,DegreeBranch,80.98
13438,Gender,79.53
9233,,80.82
21254,,81.25
13977,HighestDegree,81.09
14763,Gender,80.48
20265,CurrentCompanyType,55.73
13123,,80.11
12097,HighestDegree,88.74
22923,Gender,79.09
19368,EmpScore,89.07
21795,DegreeBranch,89.05
20160,,81.33
16523,,56.74
4659,MartialStatus,81.22
4879,,79.96
11630,CurrentCompanyType,56.35
21457,Gender,79.75
23080,Gender,79.88
15003,DegreeBranch,57.29
2392,EmpScore,80.51
11974,YearsOfExperince,81.26
3143,Gender,80.26
8380,Gender,80.15
21026,,54.79
19843,Gender,79.64
16137,Gender,80.04
15369,,55.12
7458,DegreeBranch,81.2
21906,,56.16
23563,Gender,79.2
22101,MartialStatus,81.22
10486,Gender,80.02
19029,,79.6
2045,DegreeBranch,89.68
6003,HighestDegree,89.1
9115,,57.72
10246,DegreeBranch,82.75
5307,,80.07
18708,,54.64
4560,YearsOfExperince,79.79
19704,,54.68
24173,EmpScore,81.22
23687,Gender,79.97
21637,DegreeBranch,81.32
2963,,55.03
13385,Gender,79.13
18871,YearsOfExperince,88.7
5832,,56.99
5089,,56.27
22886,DegreeBranch,81.15
2465,HighestDegree,88.76
12024,DegreeBranch,89.8
18975,,80.64
15328,DegreeBranch,81.19
9595,DegreeBranch,81.09
14474,,54.3
8657,Gender,79.27
8861,DegreeBranch,80.86
16203,Ethinicity,81.05
20086,DegreeBranch,81.28
14863,,55.72
12891,HighestDegree,81.29
7203,DegreeBranch,81.32
23191,EmpScore,88.74
2549,YearsOfExperince,81.13
12877,DegreeBranch,80.72
18631,,56.24
14615,HighestDegree,81.2
15771,DegreeBranch,89.14
15811,,58.29
23743,CurrentCompanyType,55.85
8536,YearsOfExperince,81.18
17819,,54.44
17855,DegreeBranch,81.32
9199,Gender,78.06
4405,Gender,79.39
12004,Gender,80.46
12258,Gender,79.93
2218,YearsOfExperince,81.22
9267,MartialStatus,81.24
8775,EmpScore,88.77
11070,,55.74
16094,DegreeBranch,89.8
7343,,54.5
11178,EmpScore,81.28
15299,Gender,79.17
7537,YearsOfExperince,79.79
20769,DegreeBranch,89.1
20772,Gender,80.03
20190,,55.51
2272,CurrentCompanyType,89.68
4408,CurrentCompanyType,55.27
15639,Gender,79.95
16209,YearsOfExperince,81.02
14031,Gender,79.57
5577,DegreeBranch,81.32
15410,,80.81
24056,DegreeBranch,81.23
5817,,54.92
15128,CurrentCompanyType,89.9
16098,DegreeBranch,81.08
13480,YearsOfExperince,81.92
23077,YearsOfExperince,78.32
14641,Gender,79.98
17684,,55.81
7311,,54.62
22098,,56.89
18854,DegreeBranch,79.58
13775,EmpScore,88.81
7752,,56.02
8022,,56.3
7890,,55.57
9505,,56.52
16071,,56.69
18477,DegreeBranch,81.32
4085,,53.59
24244,DegreeBranch,88.39
11984,,56.82
15949,Gender,79.87
14532,,54.38
18031,CurrentCompanyType,55.3
15590,Gender,79.23
20525,MartialStatus,81.0
6415,MartialStatus,81.18
8881,CurrentCompanyType,55.55
9514,HighestDegree,81.33
10130,EmpScore,81.28
14360,CurrentCompanyType,55.86
16373,DegreeBranch,79.64
20757,,81.17
6260,DegreeBranch,80.55
11063,HighestDegree,81.28
24338,Gender,78.93
13882,YearsOfExperince,88.43
8677,DegreeBranch,81.32
15927,Gender,80.41
7647,,54.86
21967,CurrentCompanyType,55.74
5323,Gender,79.96
9969,DegreeBranch,81.14
6611,EmpScore,81.24
4663,Gender,78.52
24296,,56.01
13273,DegreeBranch,89.12
10484,DegreeBranch,81.2
10106,HighestDegree,88.68
15302,YearsOfExperince,80.84
5413,,81.15
13241,DegreeBranch,81.14
3277,,55.96
19537,,56.17
12269,YearsOfExperince,88.17
15093,DegreeBranch,81.02
4513,Gender,78.64
13897,HighestDegree,81.28
9985,DegreeBranch,81.32
4935,CurrentCompanyType,89.64
11609,Gender,80.09
6034,,53.86
2266,Gender,79.6
18393,DegreeBranch,89.07
20566,MartialStatus,81.15
16493,DegreeBranch,81.24
12146,DegreeBranch,79.58
19733,,55.48
17945,,80.88
14003,DegreeBranch,80.68
11502,Gender,80.08
2600,DegreeBranch,89.08
2171,DegreeBranch,81.32
21673,,79.47
21525,DegreeBranch,89.68
4716,DegreeBranch,81.18
2519,Gender,80.12
6480,DegreeBranch,81.32
14056,DegreeBranch,80.68
4332,YearsOfExperince,78.14
11492,,79.62
17754,YearsOfExperince,88.37
3973,EmpScore,88.76
20933,,79.88
18796,Gender,79.44
3531,,57.28
21834,YearsOfExperince,81.19
15564,Gender,80.13
22972,DegreeBranch,89.12
10432,,55.98
19585,YearsOfExperince,81.18
23878,,53.44
12112,YearsOfExperince,89.04
4393,,55.63
15075,YearsOfExperince,79.95
16061,Gender,79.98
13260,DegreeBranch,88.81
18855,,80.08
21390,Gender,80.13
10170,HighestDegree,81.28
21424,HighestDegree,81.28
17083,CurrentCompanyType,89.05
18371,YearsOfExperince,78.53
21599,EmpScore,80.5
15287,,54.69
24160,DegreeBranch,81.32
13415,Gender,79.55
23342,MartialStatus,81.33
5267,HighestDegree,80.65
22764,YearsOfExperince,81.24
19993,CurrentCompanyType,89.81
20258,CurrentCompanyType,78.54
14657,,81.28
11693,,55.2
14844,DegreeBranch,81.32
8417,,54.76
20776,MartialStatus,81.25
7664,,79.85
14432,DegreeBranch,81.22
10933,DegreeBranch,81.22
7801,DegreeBranch,89.4
11095,DegreeBranch,81.24
4320,EmpScore,88.68
6392,CurrentCompanyType,78.79
14331,YearsOfExperince,80.58
10635,Gender,79.72
5326,DegreeBranch,81.22
22631,DegreeBranch,89.14
5797,,56.1
15205,EmpScore,81.28
5828,Gender,79.42
19940,Gender,79.55
19752,YearsOfExperince,81.18
9174,,55.99
13714,,55.03
19560,EmpScore,89.12
18323,Gender,80.06
6134,,55.81
17853,DegreeBranch,80.5
17432,,54.05
16340,DegreeBranch,81.32
12314,,54.61
9033,,52.98
18330,Gender,80.09
20250,Gender,79.07
18783,,81.28
7944,,80.55
13741,DegreeBranch,81.09
5291,YearsOfExperince,81.19
21749,DegreeBranch,81.15
7920,CurrentCompanyType,89.62
16565,Gender,78.88
21744,DegreeBranch,81.32
20631,,56.59
8980,,57.94
11096,EmpScore,81.28
13432,,80.92
9066,YearsOfExperince,81.13
8845,Gender,79.91
9768,HighestDegree,81.32
20019,,55.23
22431,YearsOfExperince,81.24
11235,Gender,79.97
9225,HighestDegree,81.05
15445,YearsOfExperince,81.26
2994,DegreeBranch,81.09
6053,CurrentCompanyType,58.6
8836,YearsOfExperince,81.18
17315,Gender,80.3
12421,,57.11
2230,,54.65
4691,Gender,80.43
22106,DegreeBranch,81.0
13609,,54.9
17578,Gender,79.8
11542,,55.81
5896,Gender,79.45
4449,Gender,80.2
8446,Gender,79.49
12640,HighestDegree,80.82
19564,MartialStatus,81.29
10303,Gender,79.98
22479,DegreeBranch,81.19
4526,,51.27
2417,Gender,78.7
12731,Gender,79.97
21191,Gender,79.45
12921,,79.81
8239,DegreeBranch,81.28
21759,,53.51
6841,DegreeBranch,80.1
22715,DegreeBranch,81.08
16557,YearsOfExperince,80.68
23397,DegreeBranch,89.8
22371,HighestDegree,88.47
20299,YearsOfExperince,79.9
7452,DegreeBranch,81.28
13928,YearsOfExperince,80.5
23542,,56.07
22364,DegreeBranch,81.37
10577,DegreeBranch,81.25
12109,YearsOfExperince,79.89
3556,DegreeBranch,81.22
7724,MartialStatus,81.22
5185,HighestDegree,81.2
23349,YearsOfExperince,79.89
12382,Gender,80.08
21654,EmpScore,81.28
23084,DegreeBranch,81.09
7717,DegreeBranch,81.22
16540,DegreeBranch,81.32
5093,,81.22
10828,,54.66
3550,YearsOfExperince,89.06
13209,EmpScore,81.18
20487,DegreeBranch,78.77
2472,Gender,79.45
10211,,55.02
19262,Ethinicity,81.28
10996,,55.59
3716,DegreeBranch,81.22
16135,Gender,78.58
8691,HighestDegree,81.33
11813,Gender,79.41
23419,Gender,78.52
2599,MartialStatus,81.09
3522,DegreeBranch,90.02
22668,DegreeBranch,81.19
2851,YearsOfExperince,78.67
20916,Gender,78.91
10786,DegreeBranch,81.18
17811,DegreeBranch,81.32
11412,CurrentCompanyType,56.86
22950,DegreeBranch,89.1
3356,,56.15
12885,CurrentCompanyType,89.98
19185,,79.31
16200,DegreeBranch,79.55
17450,YearsOfExperince,80.0
14371,,81.28
21702,,56.42
20900,DegreeBranch,81.32
13764,,52.53
10327,DegreeBranch,81.32
21337,YearsOfExperince,81.28
12480,,53.27
4743,Gender,79.47
2461,CurrentCompanyType,56.07
11897,,55.0
23250,Gender,80.27
8751,DegreeBranch,81.28
3160,DegreeBranch,88.74
2294,DegreeBranch,81.18
2211,YearsOfExperince,81.24
10381,Gender,80.44
16696,HighestDegree,80.6
10239,,56.37
22734,YearsOfExperince,80.19
14978,,54.08
8431,MartialStatus,81.28
13740,MartialStatus,80.93
21930,,81.06
20103,HighestDegree,81.24
12519,Gender,78.87
5115,Gender,78.91
15399,DegreeBranch,81.33
19994,,54.64
12668,,55.14
21567,HighestDegree,81.24
19054,,56.68
12323,DegreeBranch,81.26
6777,,56.17
18246,YearsOfExperince,81.28
7771,Gender,79.62
24123,,55.72
2943,DegreeBranch,81.24
5689,Gender,78.88
15948,YearsOfExperince,81.24
2595,,55.41
18279,Gender,79.22
10551,,55.41
10857,,53.1
17555,Gender,79.98
19015,,56.9
10459,DegreeBranch,80.88
14381,HighestDegree,81.37
14864,,55.65
15796,,57.33
12178,YearsOfExperince,88.41
6384,,56.47
11211,Gender,80.16
4236,Gender,80.22
2784,DegreeBranch,81.22
8150,,54.56
5245,EmpScore,88.26
13845,,53.58
21317,YearsOfExperince,80.8
6945,Gender,78.94
16805,Gender,80.64
18967,Gender,78.66
12376,Gender,79.96
5071,DegreeBranch,81.37
5405,YearsOfExperince,78.48
7042,DegreeBranch,79.12
23291,,55.95
2758,YearsOfExperince,78.33
3731,,55.31
22511,MartialStatus,81.33
15969,Gender,79.58
3752,Gender,79.87
16091,MartialStatus,81.22
11966,Gender,79.65
19611,MartialStatus,81.28
23179,DegreeBranch,89.16
10883,,51.87
2424,,56.35
15854,YearsOfExperince,79.91
19660,DegreeBranch,81.32
16206,,55.0
